,GAME_ID,HOMEDESCRIPTION,PCTIMESTRING,PERIOD,PLAYER3_TEAM_ABBREVIATION,HOME_TEAM,AWAY_TEAM,JUMP_BALL_HOME_PLAYER_ID,JUMP_BALL_AWAY_PLAYER_ID,JUMP_BALL_RETRIEVED_PLAYER_ID,JUMP_BALL_RETRIEVED_TEAM_NAME
11676,21600281,Jump Ball Pachulia vs. Capela: Tip to Anderson,12:00,1.0,Rockets,Warriors,Rockets,2585.0,203991.0,201583.0,Rockets
12297,21600282,Jump Ball Embiid vs. Biyombo: Tip to Ilyasova,12:00,1.0,76ers,Magic,76ers,203954.0,202687.0,101141.0,76ers
12745,21600283,Jump Ball Johnson vs. Koufos: Tip to Cousins,12:00,1.0,Kings,Celtics,Kings,101161.0,201585.0,202326.0,Kings
13221,21600284,Jump Ball Valanciunas vs. Mozgov: Tip to Randle,12:00,1.0,Lakers,Lakers,Raptors,202685.0,202389.0,203944.0,Lakers
13666,21600285,Jump Ball Porzingis vs. Towns: Tip to O'Quinn,12:00,1.0,Knicks,Timberwolves,Knicks,204001.0,1626157.0,203124.0,Knicks
14132,21600286,Jump Ball Lopez vs. Thompson: Tip to Gibson,12:00,1.0,Bulls,Bulls,Cavaliers,201577.0,202684.0,201959.0,Bulls
14548,21600287,Jump Ball Davis vs. Jordan: Tip to Paul,12:00,1.0,Clippers,Clippers,Pelicans,203076.0,201599.0,101108.0,Clippers
14976,21600288,Jump Ball Howard vs. Drummond: Tip to Sefolosha,12:00,1.0,Hawks,Hawks,Pistons,2730.0,203083.0,200757.0,Hawks
15405,21600290,Jump Ball Nurkic vs. Capela: Tip to Faried,12:00,1.0,Nuggets,Nuggets,Rockets,203994.0,203991.0,202702.0,Nuggets
15888,21600291,Jump Ball Henson vs. Lopez: Tip to Whitehead,12:00,1.0,Nets,Nets,Bucks,203089.0,201572.0,1627785.0,Nets
16407,21600292,Jump Ball Zeller vs. Towns: Tip to Walker,12:00,1.0,Hornets,Hornets,Timberwolves,203469.0,1626157.0,202689.0,Hornets
16938,21600293,Jump Ball Valanciunas vs. Howard: Tip to Carroll,12:00,1.0,Raptors,Hawks,Raptors,202685.0,2730.0,201960.0,Raptors
17378,21600294,Jump Ball Okafor vs. Johnson: Tip to Stauskas,12:00,1.0,76ers,Celtics,76ers,1626143.0,101161.0,203917.0,76ers
17841,21600295,Jump Ball Gasol vs. Mozgov: Tip to Green,12:00,1.0,Grizzlies,Lakers,Grizzlies,201188.0,202389.0,203210.0,Grizzlies
18295,21600296,Jump Ball Bogut vs. Lopez: Tip to D. Williams,12:00,1.0,Mavericks,Bulls,Mavericks,101106.0,201577.0,101114.0,Mavericks
18745,21600297,Jump Ball Gobert vs. Nurkic: Tip to Faried,12:00,1.0,Nuggets,Nuggets,Jazz,203497.0,203994.0,202702.0,Nuggets
19179,21600298,Jump Ball Plumlee vs. Whiteside: Tip to Davis,12:00,1.0,Trail Blazers,Heat,Trail Blazers,203486.0,202355.0,202334.0,Trail Blazers
19634,21600299,Jump Ball Pachulia vs. Chandler: Tip to Chriss,12:00,1.0,Suns,Warriors,Suns,2585.0,2199.0,1627737.0,Suns
20096,21600300,Jump Ball Drummond vs. Biyombo: Tip to Harris,12:00,1.0,Pistons,Pistons,Magic,203083.0,202687.0,202699.0,Pistons
20497,21600301,Jump Ball Adams vs. Davis: Tip to Asik,12:00,1.0,Pelicans,Pelicans,Thunder,203500.0,203076.0,201600.0,Pelicans
20998,21600302,Jump Ball Noah vs. Koufos: Tip to Porzingis,12:00,1.0,Knicks,Knicks,Kings,201149.0,201585.0,204001.0,Knicks
21499,21600303,Jump Ball Jordan vs. Turner: Tip to Griffin,12:00,1.0,Clippers,Pacers,Clippers,201599.0,1626167.0,201933.0,Clippers
21991,21600304,Jump Ball Embiid vs. Nurkic: Tip to Ilyasova,12:00,1.0,76ers,Nuggets,76ers,203954.0,203994.0,101141.0,76ers
22484,21600305,Jump Ball Valanciunas vs. Thompson: Tip to DeRozan,12:00,1.0,Raptors,Cavaliers,Raptors,202685.0,202684.0,201942.0,Raptors
22943,21600306,Jump Ball Lopez vs. Gortat: Tip to Whitehead,12:00,1.0,Nets,Nets,Wizards,201572.0,101162.0,1627785.0,Nets
23407,21600307,Jump Ball Howard vs. Adams: Tip to Oladipo,12:00,1.0,Thunder,Hawks,Thunder,2730.0,203500.0,203506.0,Thunder
23896,21600308,Jump Ball Lopez vs. Plumlee: Tip to Gibson,12:00,1.0,Bulls,Bulls,Trail Blazers,201577.0,203486.0,201959.0,Bulls
24381,21600309,Jump Ball Henson vs. Gasol: Tip to Dellavedova,12:00,1.0,Bucks,Bucks,Spurs,203089.0,2200.0,203521.0,Bucks
24849,21600310,Jump Ball Davis vs. Gasol: Tip to Frazier,12:00,1.0,Pelicans,Grizzlies,Pelicans,203076.0,201188.0,204025.0,Pelicans
25390,21600311,Jump Ball Capela vs. Horford: Tip to Beverley,12:00,1.0,Rockets,Celtics,Rockets,203991.0,201143.0,201976.0,Rockets
25852,21600312,Jump Ball Bogut vs. Zeller: Tip to Matthews,12:00,1.0,Mavericks,Hornets,Mavericks,101106.0,203469.0,202083.0,Mavericks
26300,21600313,Jump Ball Mozgov vs. Gobert: Tip to Ingram,12:00,1.0,Lakers,Lakers,Jazz,202389.0,203497.0,1627742.0,Lakers
26756,21600314,Jump Ball Pachulia vs. Turner: Tip to Young,12:00,1.0,Pacers,Warriors,Pacers,2585.0,1626167.0,201152.0,Pacers
27241,21600315,Jump Ball Gortat vs. Biyombo: Tip to Augustin,12:00,1.0,Magic,Magic,Wizards,101162.0,202687.0,201571.0,Magic
27719,21600316,Jump Ball Whiteside vs. Noah: Tip to Porzingis,12:00,1.0,Knicks,Heat,Knicks,202355.0,201149.0,204001.0,Knicks
